,CORONARY ANGIOPLASTY WITH INTRALUMINAL STENT IMPLANTATION, PERIDURAL OR SUBARACHNOID NEUROLITIC BLOCKADE, CARDIAC CATHETERIZATION,CARDIAC CATHETERIZATION AND LEFT OR RIGHT HEART CATHETERIZATION WITH CINEANGIOCORONARYGRAPHY AND VENTRICULOGRAPHY,SINGLE FETUS CESAREAN,CESAREAN SECTION - MULTIPLE FETUS,CURETTAGE AFTER ABORTION,FEMUR FRACTURE - SURGICAL TREATMENT,NORMAL BIRTH,VIDEO CHOLECYSTECTOMY
item_31,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
item_32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
item_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
item_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_36,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
item_37,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,3.0
item_38,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0
item_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
item_40,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
item_41,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
item_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_44,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
item_45,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0
item_46,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
item_47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_48,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0
item_49,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
item_50,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,4.0
item_51,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
item_52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
item_53,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0
item_54,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
item_55,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
item_56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
freq_PROCEDURE,4.223901098901099,4.15521978021978,11.675824175824175,6.593406593406594,38.70192307692308,3.6744505494505497,5.494505494505495,4.241071428571429,14.04532967032967,7.194368131868131
